"Tradename";"License #";"UBI";"Street Address";"Suite/Rm";"City";"State";"County";"ZipCode";"PrivDesc";"PrivilegeStatus";"DayPhone"
"THAT'S WHAT'S UP                             ";"422794";"6035769710010001";"1512 ROAD 2 NW  STE B         ";"                         ";"MOSES LAKE              ";"WA";"GRANT";"988379824";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THC CONNECTION                               ";"420894";"6035539380010001";"11323A HIGHWAY 99             ";"                         ";"EVERETT                 ";"WA";"SNOHOMISH";"982044816";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2083403970"
"THC OF LACEY                                 ";"421335";"6035538060010002";"6725 MARTIN WAY E             ";"                         ";"OLYMPIA                 ";"WA";"THURSTON";"985165541";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3605616364"
"THC OF OLYMPIA                               ";"368015";"6035538060010003";"5628 OLD HWY 410 SW STE A     ";"STE A                    ";"OLYMPIA                 ";"WA";"THURSTON";"985129422";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3605616364"
"THC OF OLYMPIA                               ";"421069";"6035538060010001";"3203 MARTIN WAY E  STE D      ";"                         ";"OLYMPIA                 ";"WA";"THURSTON";"985064951";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3605616364"
"THC SPOKANE                                  ";"422658";"6035551830010006";"103B GALBREATH WAY            ";"                         ";"RITZVILLE               ";"WA";"ADAMS";"991690000";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE 420 GRASS STATION                        ";"421786";"6035340690010001";"6131 CAPITOL BLVD S SUITE B   ";"                         ";"TUMWATER                ";"WA";"THURSTON";"985015270";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3604026368"
"THE 710 SPOT                                 ";"413375";"6034463890010004";"4002 PACIFIC AVE              ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984187830";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE BACK PORCH                               ";"415645";"6032552340010002";"907 N WENATCHEE AVENUE STE B  ";"                         ";"WENATCHEE               ";"WA";"CHELAN";"985011572";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"5096699160"
"THE BAKE SHOP                                ";"413426";"6034131030010002";"19705 N GRIFFIN RD            ";"                         ";"PROSSER                 ";"WA";"BENTON";"993500000";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"5097782512"
"THE BAKE SHOP                                ";"422780";"6036024290010001";"325 S 1ST AVE   STE B         ";"                         ";"OTHELLO                 ";"WA";"ADAMS";"993441307";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE BAKEREE                                  ";"421738";"6033479550010002";"3401 N DIVISION ST            ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"982071805";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE BAKEREE                                  ";"421782";"6032163000010003";"3801 S PUGET SOUND AVE  STE C ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984094612";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE BIG BUD MART                             ";"422205";"6035518250010005";"6326 MARTIN WAY E SUITE 207   ";"                         ";"LACEY                   ";"WA";"THURSTON";"985165561";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2063900295"
"THE BLACK MARKET                             ";"353993";"6033479560010006";"7461 MT BAKER HWY             ";"                         ";"DEMING                  ";"WA";"WHATCOM";"982449557";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE BLOOM ROOM                               ";"416801";"6034332480010002";"1625 CENTER ST                ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984097920";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE CANNABIS BODEGA                          ";"408722";"6035587300010001";"1314 E 72ND ST STE A1         ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984043343";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE CANNABIS CORNER                          ";"413897";"6033591250010001";"484 EVERGREEN DR              ";"                         ";"NORTH BONNEVILLE        ";"WA";"SKAMANIA";"986394619";"MEDICAL ENDORSEMENT                ";"PENDING (ISSUED)";"9715701621"
"THE CANNABIS CROSSING                        ";"421877";"6036222590010001";"6733 STATE HWY 303 NE         ";"                         ";"BREMERTON               ";"WA";"KITSAP";"983113736";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE CANNABIS MARKET                          ";"420768";"6035521880010001";"6620 N MARKET ST STE 201      ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"992177809";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE COOKIE JAR                               ";"420618";"6035411800010002";"34027 SE INDIAN PLUM ST       ";"                         ";"SNOQUALMIE              ";"WA";"KING";"980659496";"MEDICAL ENDORSEMENT                ";"CLOSED (PERMANENT)";"          "
"THE CORNER STORE                             ";"413881";"6022407380010002";"714 W COLUMBIA DR             ";"                         ";"KENNEWICK               ";"WA";"BENTON";"993363545";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE DOPE SHOP LLC                            ";"414058";"6035592580010001";"1345 W UNIVERSITY WAY         ";"                         ";"ELLENSBURG              ";"WA";"KITTITAS";"989262332";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE EMERALD CUT ALTERNATIVE MEDICINE         ";"415118";"6032912260010001";"2424 N MONROE ST              ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"99205    ";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE EMERALD CUT ALTERNATIVE MEDICINE         ";"422455";"6035458600010001";"2424 N MONROE ST  STE D       ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"992053349";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE EVERGREEN MARKET                         ";"413791";"6033501150010001";"409 RAINIER AVE N             ";"                         ";"RENTON                  ";"WA";"KING";"980575319";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"4253188898"
"THE EVERGREEN MARKET                         ";"420585";"6024290560010002";"933 THOMAS AVE SW             ";"                         ";"RENTON                  ";"WA";"KING";"980572931";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE EVERGREEN MARKET                         ";"420634";"6024290560010003";"1144 29TH ST NW STE 102       ";"                         ";"AUBURN                  ";"WA";"KING";"980012465";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE EVERGREEN MARKET OF ISSAQUAH             ";"414806";"6033577780010004";"200 NE JUNIPER ST STE #2      ";"                         ";"ISSAQUAH                ";"WA";"KING";"980272503";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE FARMA-C                                  ";"420778";"6035529200010001";"24 SETON RD                   ";"                         ";"PORT TOWNSEND           ";"WA";"JEFFERSON";"983689799";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE FIRE HOUSE                               ";"400772";"6035877310010001";"1714 CANYON RD                ";"                         ";"ELLENSBURG              ";"WA";"KITTITAS";"989269739";"MEDICAL ENDORSEMENT                ";"PENDING (ISSUED)";"3607910112"
"THE FORBIDDEN FLOWER LLC                     ";"422328";"6033555980010003";"6049 S 129TH ST STE B         ";"                         ";"SEATTLE                 ";"WA";"KING";"981784692";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE GALLERY                                  ";"413258";"6033367320010001";"13005 PACIFIC AVE SOUTH       ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984440000";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3052988577"
"THE GALLERY SPANAWAY                         ";"413420";"6033367320010002";"21802 MOUNTAIN HWY E  STE 1   ";"                         ";"SPANAWAY                ";"WA";"PIERCE";"983870000";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3052988577"
"THE GANJA SHOP                               ";"422407";"6033429340010002";"4111 A ST SE STE 104          ";"                         ";"AUBURN                  ";"WA";"KING";"980028651";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE GARDEN                                   ";"422507";"6033591910010005";"11980 W SUNSET HWY STE A      ";"                         ";"AIRWAY HEIGHTS          ";"WA";"SPOKANE";"990019403";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"5098082361"
"THE GRASSHOPPER CANNABIS DEPOT               ";"421707";"6032207220010001";"1401 IOWA ST                  ";"                         ";"BELLINGHAM              ";"WA";"WHATCOM";"982294763";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2062097254"
"THE GRASSHOPPER CANNABIS DEPOT               ";"422037";"6032207220010002";"20291 SR 20 UNIT 2            ";"                         ";"BURLINGTON              ";"WA";"SKAGIT";"941409316";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2062097254"
"THE GRASSHOPPER CANNABIS DEPOT               ";"422166";"6032207220010003";"20291 STATE ROUTE 20 UNIT C   ";"                         ";"BURLINGTON              ";"WA";"SKAGIT";"982238727";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2062097254"
"THE GREEN CASTLE L.L.C.                      ";"421987";"6035690500010002";"2829 N MARKET ST  STE C       ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"992075553";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE GREEN CLOUD COLLECTIVE                   ";"420738";"6034108930010001";"1306 BIRCH BAY LYNDEN RD      ";"STE B                    ";"LYNDEN                  ";"WA";"WHATCOM";"982649412";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE GREEN CLOUD COLLECTIVE                   ";"420950";"6034108930010002";"866 BIRCH BAY LYNDEN RD       ";"                         ";"LYNDEN                  ";"WA";"WHATCOM";"982649488";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE GREEN DOOR                               ";"415410";"6034196260010001";"28120 HWY 410 E UNIT A8       ";"                         ";"BUCKLEY                 ";"WA";"PIERCE";"983218482";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2532248299"
"THE GREEN DOOR SEATTLE                       ";"413357";"6031793430010002";"708 RAINIER AVE S  #108/109   ";"                         ";"SEATTLE                 ";"WA";"KING";"981442814";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2066187133"
"THE GREEN DREAM CANNABIS                     ";"422863";"6017385300010002";"8420 ASPI BLVD STE 1-A        ";"                         ";"MOSES LAKE              ";"WA";"GRANT";"988373601";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE GREEN LAGOON                             ";"421484";"6035656490010001";"4418 130TH ST SE              ";"                         ";"EVERETT                 ";"WA";"SNOHOMISH";"982089645";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE GREEN LOTUS                              ";"415479";"6036035820010001";"7924 RIVER RD E               ";"                         ";"PUYALLUP                ";"WA";"PIERCE";"983713839";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE GREEN NUGGET                             ";"412490";"6033490250010001";"1919 E FRANCIS AVE SUITE A    ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"992082747";"MEDICAL ENDORSEMENT                ";"PENDING (ISSUED)";"5093092130"
"THE GREEN PALACE INCORPORATED                ";"420651";"6035513180010001";"6820 112TH ST E STE B         ";"                         ";"PUYALLUP                ";"WA";"PIERCE";"983734606";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE GREEN SEED                               ";"412495";"6033463060010001";"8420 ASPI BLVD STE 3          ";"                         ";"MOSES LAKE              ";"WA";"GRANT";"988373601";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"5098552271"
"THE GREEN SEED                               ";"412495";"6033463060010002";"412 S INTERLAKE RD            ";"                         ";"MOSES LAKE              ";"WA";"GRANT";"988372908";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE GREEN SHELF                              ";"414958";"6033586820010001";"400 S. MAIN STREET            ";"UNIT #1                  ";"ELLENSBURG              ";"WA";"KITTITAS";"989260000";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2065560305"
"THE GREEN SHOP                               ";"421119";"6035572940010001";"7802 27TH ST W                ";"                         ";"UNIVERSITY PLACE        ";"WA";"PIERCE";"984664111";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE GREEN TIKI CANNABIS COMPANY              ";"423272";"6015022330010005";"7621 27TH ST W                ";"                         ";"UNIVERSITY PLACE        ";"WA";"PIERCE";"984664107";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE GREENHOUSE GROUP LLC                     ";"415387";"6033583120010005";"5300 17TH AVE NW STE C        ";"                         ";"SEATTLE                 ";"WA";"KING";"981073815";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE GREENHOUSE GROUP LLC                     ";"420407";"6033583120010004";"355 RAINIER AVE N STE C       ";"STE C                    ";"RENTON                  ";"WA";"KING";"980575321";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2063952036"
"THE GREENHOUSE GROUP LLC                     ";"420633";"6033583120010006";"355 RAINIER AVE NORTH  STE B  ";"STE B                    ";"RENTON                  ";"WA";"KING";"980575321";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2063952036"
"THE HAPPY COLLECTIVE L.L.C.                  ";"420716";"6034291770010001";"28114 N NEWPORT HWY UNIT A    ";"                         ";"CHATTAROY               ";"WA";"SPOKANE";"990039779";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE HAPPY CROP SHOPPE                        ";"413481";"6033395640010002";"50 ROCK ISLAND RD             ";"                         ";"EAST WENATCHEE          ";"WA";"DOUGLAS";"988025352";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"5098881597"
"THE HAPPY CROP SHOPPE                        ";"413600";"6033395640010003";"5736 VALE RD                  ";"                         ";"CASHMERE                ";"WA";"CHELAN";"988150000";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"5096696835"
"THE HAPPY CROP SHOPPE                        ";"420934";"6034229530010001";"1210 N WENATCHEE AVE STE J    ";"                         ";"WENATCHEE               ";"WA";"CHELAN";"988016707";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"5096696835"
"THE HARVEST COALITION LLC                    ";"422206";"6035859000010001";"1514 E. NW BOULAVARD          ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"99205    ";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE HEALING CORNER                           ";"082607";"6006225570010006";"300 NW 85TH ST                ";"                         ";"SEATTLE                 ";"WA";"KING";"981173120";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE HEALING CORNER                           ";"420876";"6006225570010007";"300 NW 85TH ST STE B          ";"                         ";"SEATTLE                 ";"WA";"KING";"981173120";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE HEALING LEAF GARDEN COLLECTIVE           ";"414829";"6032036520010001";"9626 32ND ST SE               ";"                         ";"LAKE STEVENS            ";"WA";"SNOHOMISH";"982050000";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"4252488559"
"THE HERBAL CENTER                            ";"415484";"6033274470010002";"449 WICHMAN ST S STE A        ";"                         ";"TENINO                  ";"WA";"THURSTON";"985899376";"MEDICAL ENDORSEMENT                ";"PENDING (ISSUED)";"3608274217"
"THE HERBAL GARDENS                           ";"414446";"6033260490010002";"824 S 28TH ST STE A           ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984098105";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2532725265"
"THE HERBAL GARDENS                           ";"414446";"6033260490010004";"4803 CENTER STREET STE A      ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984092319";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE HERBERY                                  ";"084045";"6033550310010001";"212 NE 164TH AVE STE 11       ";"                         ";"VANCOUVER               ";"WA";"CLARK";"986840000";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3609490319"
"THE HERBERY                                  ";"413848";"6033550310010002";"6018 NE ST JOHNS RD STE D     ";"                         ";"VANCOUVER               ";"WA";"CLARK";"986610000";"MEDICAL ENDORSEMENT                ";"PENDING (ISSUED)";"3609490319"
"THE HERBERY                                  ";"421272";"6035588890010001";"6018 ST JOHN'S RD STE D-2     ";"                         ";"VANCOUVER               ";"WA";"CLARK";"98661    ";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE HERITAGE                                 ";"422704";"6027387170010001";"703 S WHITCOMB AVE STE B      ";"                         ";"TONASKET                ";"WA";"OKANOGAN";"98855    ";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE HIDDEN BUSH                              ";"412921";"6033511330010001";"3230 E HWY 101                ";"                         ";"PORT ANGELES            ";"WA";"CLALLAM";"983629073";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3604606641"
"THE HOLY SMOKE CHRONIC SHOP & PSYCHEDELI     ";"413524";"6034761660010001";"2101 E ILLINOIS AVE           ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"99207    ";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE HUMANITY GROUP                           ";"420505";"6030706750010002";"9640 16TH AVE SW  STE B       ";"                         ";"SEATTLE                 ";"WA";"KING";"981062827";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE HUMANITY GROUP LLC                       ";"422444";"6030706750010003";"29629 OLD HIGHWAY 99 N        ";"                         ";"STANWOOD                ";"WA";"SNOHOMISH";"98292    ";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE JOINT                                    ";"076458";"6033488710010006";"2409 PACIFIC AVE              ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984022910";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"4254710283"
"THE JOINT                                    ";"413677";"6035652650010002";"1840 JAMES ST                 ";"                         ";"BELLINGHAM              ";"WA";"WHATCOM";"982254623";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3603032860"
"THE JOINT                                    ";"414065";"6033488710010003";"1510 N WENATCHEE AVE          ";"                         ";"WENATCHEE               ";"WA";"CHELAN";"988011157";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"4254710283"
"THE JOINT                                    ";"420800";"6033526180010004";"2119 LINCOLN STREET           ";"                         ";"BELLINGHAM              ";"WA";"WHATCOM";"982254147";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3603251201"
"THE JOINT                                    ";"420801";"6033526180010005";"9574 OLD HWY 99 NORTH RD STE B";"                         ";"BURLINGTON              ";"WA";"SKAGIT";"982336811";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3603251201"
"THE JOINT                                    ";"422448";"6033488710010007";"23808 BOTHELL EVERETT HWY     ";"SUITE A                  ";"BOTHELL                 ";"WA";"SNOHOMISH";"980219324";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE JOINT                                    ";"422878";"6033490000010003";"23814 BOTHELL EVERETT HWY     ";"                         ";"BOTHELL                 ";"WA";"KING";"980219371";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE JOINT LLC                                ";"420389";"6033025530010006";"14325 1ST AVE S   STE B       ";"STE B.                   ";"BURIEN                  ";"WA";"KING";"981683418";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2062255555"
"THE KUSHERY                                  ";"415507";"6033594840010002";"5626 134TH PL SE STE B        ";"                         ";"EVERETT                 ";"WA";"SNOHOMISH";"982080000";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"4256337515"
"THE KUSHERY                                  ";"415517";"6033594830010003";"18026 STATE ROUTE 9 SE STE 2  ";"                         ";"SNOHOMISH               ";"WA";"SNOHOMISH";"982965330";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3608633256"
"THE KUSHI MONSTER, LLC                       ";"422767";"6035667660010001";"19020 STATE ROUTE 203 STE A   ";"                         ";"MONROE                  ";"WA";"SNOHOMISH";"982728873";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE LOCAL POT SHOP LLC                       ";"422823";"6036041800010001";"3213 S 38TH ST STE A          ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984095617";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE LOUNGE                                   ";"420680";"6035502520010001";"4701 POINT FOSDICK DR NW      ";"UNIT F                   ";"GIG HARBOR              ";"WA";"PIERCE";"983352319";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE LUCKY LEAF                               ";"413295";"6035727170010002";"3411 N CAPITAL AVE #A         ";"                         ";"PASCO                   ";"WA";"FRANKLIN";"99301    ";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE M STORE                                  ";"415303";"6035683400010001";"1503 A E NOB HILL BLVD        ";"                         ";"YAKIMA                  ";"WA";"YAKIMA";"989010000";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"4252603482"
"THE MAGIC DRAGON                             ";"420863";"6035532030010001";"3127 W GRANDVIEW AVE          ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"992245527";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE NOVEL TREE                               ";"414983";"6033520850010002";"1817 130TH AVE NE SUITE B     ";"                         ";"BELLEVUE                ";"WA";"KING";"980052225";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3609301700"
"THE PEACEFUL CHOICE                          ";"421109";"6033082280010002";"3401 N DIVISION ST            ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"992071805";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE QUE COMPANY                              ";"422334";"6035805420010001";"112 126TH ST E                ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984451568";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE ROACH 420                                ";"414216";"6033524760010002";"133 STATE AVE                 ";"                         ";"BREWSTER                ";"WA";"DOUGLAS";"988129643";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"5098607111"
"THE ROOT CELLAR                              ";"415343";"6033551240010001";"23632 NE STATE ROUTE 3        ";"                         ";"BELFAIR                 ";"WA";"MASON";"985288309";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3604348767"
"THE ROOT CELLAR LLC                          ";"421411";"6033551240010002";"5301 2ND AVE S                ";"                         ";"SEATTLE                 ";"WA";"KING";"981082211";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE SLOW BURN                                ";"413773";"6034102670010001";"4101 MAIN STREET              ";"                         ";"UNION GAP               ";"WA";"YAKIMA";"989032042";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"5098234793"
"THE SLOW BURN 6                              ";"420412";"6033575830010002";"4001 KENNEDY RD STE 1         ";"                         ";"WEST RICHLAND           ";"WA";"BENTON";"993537353";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE SLOW BURN II                             ";"420451";"6035503420010001";"4110 MAIN ST                  ";"STE B                    ";"UNION GAP               ";"WA";"YAKIMA";"989032043";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE SLOW BURN III                            ";"420414";"6033625930010002";"62 W NOB HILL BLVD            ";"                         ";"YAKIMA                  ";"WA";"YAKIMA";"989024659";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE SOURCE                                   ";"420292";"6031478630010001";"5300 17TH AVE NW              ";"STE A                    ";"SEATTLE                 ";"WA";"KING";"981070000";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2063952036"
"THE SOURCE OF SEATTLE                        ";"420427";"6035491340010001";"9722 ARROWSMITH AVE S         ";"                         ";"SEATTLE                 ";"WA";"KING";"981185903";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE SPOT                                     ";"414458";"6034405340010002";"2829 N MARKET ST              ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"992075553";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE SPOT                                     ";"420816";"6034405340010004";"1420 W 3RD AVE                ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"992017024";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE SPOT MEDICAL                             ";"422961";"6034405340010001";"7413 E TRENT AVE              ";"                         ";"SPOKANE VALLEY          ";"WA";"SPOKANE";"992121247";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE SPOT ON EVERGREEN II                     ";"422817";"6036038240010001";"4425 164TH ST SW  STE C       ";"                         ";"LYNNWOOD                ";"WA";"SNOHOMISH";"980876804";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE SPOT ON EVERGREEN III, INC               ";"422806";"6036038270010001";"14303 55TH AVE NE             ";"                         ";"MARYSVILLE              ";"WA";"SNOHOMISH";"982716615";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE STAIRWAY TO HEAVEN LLC                   ";"420878";"6035494080010002";"2804 172ND ST NE STE B        ";"                         ";"MARYSVILLE              ";"WA";"SNOHOMISH";"982714718";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE STASH BOX                                ";"412494";"6033500580010001";"3108 A ST SE STE F            ";"                         ";"AUBURN                  ";"WA";"KING";"980028811";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2537970959"
"THE STONERS CORNER                           ";"054210";"6035561650010002";"9025 DELRIDGE WAY SW          ";"                         ";"SEATTLE                 ";"WA";"KING";"981062335";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE STOOP                                    ";"422476";"6035952660010001";"956 FLORENCE ST               ";"                         ";"PROSSER                 ";"WA";"BENTON";"993501025";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE TOP SHELF                                ";"414716";"6033576000010002";"1305 S HAYFORD RD             ";"                         ";"AIRWAY HEIGHTS          ";"WA";"SPOKANE";"992245276";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"5099444350"
"THE VAULT CANNABIS                           ";"420619";"6033553980010004";"11701 HIGHWAY 99              ";"                         ";"EVERETT                 ";"WA";"SNOHOMISH";"982044809";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"THE VAULT CANNABIS LLC                       ";"414829";"6035990340010001";"9626 32ND ST SE               ";"                         ";"LAKE STEVENS            ";"WA";"SNOHOMISH";"982050000";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
